time,stockX,stockY,stockZ
58.3,14.803447,-26.107782,22.117214
58.399998,14.779589,-26.122637,22.112867
58.5,14.755801,-26.13749,22.108437
58.6,14.732085,-26.152336,22.103928
58.7,14.708439,-26.167183,22.099339
58.8,14.684864,-26.182024,22.094667
58.899998,14.661358,-26.196863,22.089912
59.0,14.637918,-26.211704,22.085073
59.1,14.614547,-26.226542,22.08015
59.2,14.591242,-26.241379,22.075136
59.3,14.568002,-26.256212,22.070036
59.399998,14.544827,-26.27105,22.064848
59.5,14.521717,-26.285887,22.059568
59.6,14.498671,-26.300722,22.054201
59.7,14.475686,-26.31556,22.048738
59.8,14.452766,-26.330397,22.043182
59.899998,14.429907,-26.345236,22.037533
60.0,14.407107,-26.360075,22.03179
60.1,14.384369,-26.37492,22.02595
60.2,14.361689,-26.389763,22.020012
60.3,14.339068,-26.404612,22.013977
60.399998,14.316507,-26.419458,22.007841
60.5,14.294003,-26.43431,22.00161
60.6,14.271554,-26.449163,21.995275
60.7,14.249163,-26.464022,21.98884
60.8,14.226828,-26.478878,21.982304
60.899998,14.20455,-26.493742,21.975662
61.0,14.182324,-26.508608,21.96892
61.1,14.160153,-26.523474,21.96207
61.2,14.138036,-26.538343,21.955118
61.3,14.1159725,-26.553219,21.94806
61.399998,14.093963,-26.568096,21.940891
61.5,14.072002,-26.582975,21.933622
61.6,14.0500965,-26.597858,21.92624
61.7,14.028239,-26.612747,21.918753
61.8,14.006433,-26.627634,21.911156
61.899998,13.98465,-26.642574,21.903465
62.0,13.962941,-26.657473,21.895649
62.1,13.941282,-26.672373,21.887724
62.2,13.91967,-26.687275,21.879684
62.3,13.898108,-26.702183,21.871536
62.399998,13.876593,-26.71709,21.863277
62.5,13.855123,-26.732,21.854908
62.6,13.833699,-26.746912,21.846426
62.7,13.81232,-26.761824,21.837833
62.8,13.790988,-26.77674,21.82913
62.899998,13.769698,-26.791655,21.820312
63.0,13.748452,-26.806572,21.811386
63.1,13.727248,-26.821486,21.802345
63.2,13.706087,-26.836403,21.793192
63.3,13.68497,-26.851318,21.783928
63.399998,13.663893,-26.866234,21.77455
63.5,13.642858,-26.881147,21.76506
63.6,13.621863,-26.896059,21.755459
63.7,13.600909,-26.91097,21.74574
63.8,13.579995,-26.92588,21.73591
63.899998,13.559121,-26.940784,21.72597
64.0,13.538285,-26.95569,21.71591
64.1,13.517488,-26.970587,21.705742
64.2,13.496729,-26.985481,21.69546
64.3,13.476008,-27.000372,21.685062
64.399994,13.455329,-27.015257,21.67455
64.5,13.434682,-27.030138,21.66392
64.6,13.414074,-27.045013,21.65318
64.7,13.393503,-27.059881,21.642323
64.8,13.372969,-27.074741,21.631351
64.899994,13.352473,-27.089594,21.620266
65.0,13.332011,-27.104437,21.609062
65.1,13.311585,-27.119274,21.597744
65.2,13.291197,-27.134102,21.58631
65.3,13.270842,-27.148918,21.57476
65.399994,13.250525,-27.163721,21.563095
65.5,13.230241,-27.178514,21.551313
65.6,13.209993,-27.193296,21.539415
65.7,13.189781,-27.208067,21.5274
65.8,13.169601,-27.222822,21.515265
65.899994,13.14946,-27.237562,21.503017
66.0,13.129351,-27.252287,21.490648
66.1,13.109315,-27.266994,21.478117
66.2,13.089279,-27.281685,21.465513
66.3,13.069278,-27.29636,21.452787
66.399994,13.0493145,-27.311016,21.439943
66.5,13.029385,-27.325655,21.426977
66.6,13.009492,-27.340275,21.413889
66.7,12.989635,-27.35487,21.400682
66.8,12.969814,-27.369448,21.387352
66.899994,12.950031,-27.383999,21.3739
67.0,12.9302845,-27.398533,21.360323
67.1,12.910576,-27.41304,21.346622
67.2,12.890905,-27.42752,21.332792
67.3,12.87127,-27.441978,21.31884
67.399994,12.851678,-27.456408,21.304766
67.5,12.83212,-27.47081,21.290554
67.6,12.812606,-27.485182,21.276217
67.7,12.793131,-27.499525,21.261751
67.8,12.773697,-27.513836,21.247154
67.899994,12.754306,-27.528116,21.232426
68.0,12.734956,-27.542366,21.21756
68.1,12.71565,-27.556576,21.202564
68.2,12.696388,-27.570755,21.187433
68.3,12.67717,-27.584898,21.17216
68.4,12.657999,-27.599003,21.156752
68.5,12.638875,-27.613068,21.141201
68.6,12.619798,-27.627092,21.125511
68.7,12.600769,-27.641077,21.10968
68.8,12.581788,-27.655022,21.093702
68.9,12.562861,-27.668917,21.077578
69.0,12.543984,-27.68277,21.06131
69.1,12.525162,-27.696579,21.04489
69.2,12.506392,-27.710337,21.02832
69.3,12.487676,-27.724049,21.011599
69.4,12.469019,-27.737707,20.994719
69.5,12.450419,-27.751314,20.977688
69.6,12.431878,-27.764868,20.960497
69.7,12.413399,-27.778366,20.943148
69.8,12.3949795,-27.79181,20.925632
69.9,12.376624,-27.805195,20.907959
70.0,12.358334,-27.81852,20.890116
70.1,12.340111,-27.831785,20.872105
70.2,12.321957,-27.844986,20.853928
70.3,12.303868,-27.858122,20.835571
70.4,12.285841,-27.871132,20.817066
70.5,12.267897,-27.884132,20.798367
70.6,12.250024,-27.897064,20.779491
70.7,12.232228,-27.909925,20.760435
70.8,12.214507,-27.922716,20.741196
70.9,12.196866,-27.93543,20.721777
71.0,12.179307,-27.948069,20.702164
71.1,12.161831,-27.960629,20.682367
71.2,12.144441,-27.973108,20.662373
71.3,12.127136,-27.985506,20.642183
71.4,12.109922,-27.99782,20.621798
71.5,12.092799,-28.010048,20.601212
71.6,12.075769,-28.022184,20.58042
71.7,12.058836,-28.034237,20.559425
71.8,12.041997,-28.046198,20.53822
71.9,12.025259,-28.058062,20.51681
72.0,12.008622,-28.069826,20.495184
72.1,11.992089,-28.081497,20.473345
72.2,11.975659,-28.09307,20.451288
72.3,11.959335,-28.104542,20.42901
72.4,11.943122,-28.115908,20.406515
72.5,11.927018,-28.127167,20.383797
72.6,11.911027,-28.13832,20.36085
72.7,11.89515,-28.149366,20.337675
72.8,11.879388,-28.160297,20.314274
72.9,11.863746,-28.171118,20.290642
73.0,11.848222,-28.181822,20.266775
73.1,11.832819,-28.19241,20.242678
73.2,11.817539,-28.202877,20.21834
73.3,11.802384,-28.213223,20.19376
73.4,11.787356,-28.223444,20.168947
73.5,11.772457,-28.233541,20.143887
73.6,11.757687,-28.243513,20.118587
73.7,11.743051,-28.253353,20.09304
